A-ID,Domain name
A01,HHV1_VP16x2
A02,CercAHV2_VP16x2
A03,HS_MLLx3
A04,JMSFV_BEL1
A05,FBAHV1_VP64
A06,CercAHV2_VP16
A07,SFV3_BEL1
A08,HHV8_VIRF2
A09,SaHV1_VP16
A10,HS_C3ORF62
A11,BAHV1_ICP4-11
A12,HHV8_ORF50
A13,HS_FAM22F
A14,HS_MASTR
A15,CervAHV2_ICP4
A16,HAVF41_E1A
A17,HS_E2F2
A18,HS_CITED2x4
A19,HHV1_VP64
A20,HS_P65
A21,EBV_RTA
A22,HS_HSF1
A23,SG_GB1
A24,EC_MBP
A25,EC_TRXA
